inverness;0.06738978516065837,0.10694082874263276,-0.013446242010080007,0.04785444438462384,-0.18066805427466776,0.01623419646318312,-0.20036104282113454,0.039232038681805595,-0.11004556248032209,0.02646813331574943,-0.1536527904615358,0.04638924745942995,-0.14934807898890917,0.03075244331220246,0.07629039281129822,-0.09757284181965255,-0.005415664584260972,0.1018200582230627,0.06298677566646811,-0.034780807516659594,0.10647530414994456,-0.13342194481594719,0.05560515065093432,0.06829486883090471,-0.11220811895472219,0.20449697844541603,-0.05950925131869779,0.1114143160636045,-0.10342806548147171,0.07310776252821884,0.011641824176508947,0.1770885225460295,-0.02352290202814449,-0.07103423067712165,-0.008816961598328163,-0.043325316674087774,-0.03473814988466028,-0.14704271218129397,-0.04546932635196643,0.0398496470059696,0.17381130360069075,-0.03573225817820955,0.1185029016940995,-0.04969057724024656,-0.0656908985992943,-0.05038051807084419,-0.0639437903669745,-0.013226091535370495,-0.014284371744883957,0.04172287345463521,0.09281373383225064,-0.05816831793019756,0.006858976289559564,0.042403540886972124,-0.009442730512961605,-0.04446965401946073,0.03023684236890638,-0.11033303782640445,-0.07081166911886434,0.10541813674822238,0.18184577585377928,0.1850914652450316,-0.04501678451684326,0.021061742129749178,-0.031900490016879696,-0.07692654793198368,-0.0417896419221124,0.06214475110439465,0.06753815953282989,0.03934331946093425,0.02458192410951881,-0.002162741942365315,0.2282183311963399,0.19500101862643787,-0.058197992804631865,0.06221893829048042,0.024453951213520862,-0.022690150864331758,0.03531124589717283,0.019806124005247575,0.14826865543136125,-0.09934591556710239,0.030240551728210666,0.25412820593679397,0.1831440516102802,0.0803410131715811,0.017598684283265588,-0.167690860748615,0.21777648475476824,-0.010525307025918156,-0.002200577407269056,-0.1335313709154237,0.10251741777226892,-0.07962139746654916,-0.04799354535853465,0.029532064101091597,0.1318306296744075,0.029103633101446293,-0.1395516610662837,0.20286486035152917
switzerland;-0.07033553186895809,-0.014944099504768946,0.07496036350004935,0.09058668855661524,-0.04719520297353299,0.1126453746230128,0.13695179354508058,-0.0716004430842993,0.12550111289824897,-0.1067664122698929,0.019791188972987622,-0.053320319923956486,-0.2922412062148377,0.00015077777621844778,0.19271928545098976,-0.15184684180527733,0.02262466196530732,-0.031358658297372034,-0.1341973775037197,0.010807264870959895,0.23957849638294773,-0.12808124429772333,0.09011594034863316,0.033150016936143584,0.10224219857638563,0.1336152308648411,0.005424744234883725,0.07255271999357604,-0.141833560266788,0.014128195835896164,0.06793148186025566,0.08564383237280326,0.0485840898619687,-0.021830498957948214,0.07915397539863792,-0.13737043603538523,0.013979604703071283,0.05589865457454543,0.1683895087934114,0.08910257397725185,0.06652462748296566,-0.005911303833057583,0.08287144884258811,-0.13999907965476618,0.06503871615471683,-0.025134720158250006,-0.05930349371243118,-0.13340321449636058,-0.07694397426956168,-0.01246440636798999,-0.04150130575561217,-0.1330223037326499,0.09983814856768318,0.0273932335072328,0.1292275700866263,-0.028356290909822116,0.05026764356761459,-0.11974792296710904,-0.027576501893546438,-0.11308018785328634,0.047665951181515086,0.01956839211119457,-0.12390020964133276,0.0754472824480003,-0.022029938084230705,0.1126399843763565,-0.13290192155732622,0.04196666371693798,0.10878955151488466,-0.114233700637731,0.016964363951544006,-0.10719403850462474,0.1970135152871623,0.026440956597956047,-0.08728426410519888,-0.07700147023389536,-0.133144482656859,-0.010435876876341961,0.18393318340124765,0.08986978575132953,0.1485965230715384,-0.025528208164158708,0.0049663935942110835,0.1854604199538613,0.19205448836338146,-0.04833074826912338,0.05221172586164751,-0.06480693554849665,0.11272083807620077,0.02389316667841937,0.018425659820062466,-0.08427650647099269,0.1770444481745173,-0.10378740261785357,0.012031030536824796,-0.06834293735501862,0.09531393487417587,-0.04732456889328379,-0.016294895316833594,0.024191426993400395
belgium;0.08422573736059907,-0.01694447153730698,-0.014122562503937343,0.10228773837102628,-0.13159101239653226,0.009095195592228645,0.011103075258310294,-0.12809238015421237,0.11042089925646001,-0.07493884810575606,-0.04399324977078187,-0.061352671217766636,-0.3458688632621641,0.012633949763932936,0.10970048772440232,-0.18475702682301928,0.050398492897394016,0.08330917417377316,-0.04789131811008424,0.08764412574415016,0.19369084309927956,-0.10473428446504406,0.03519852284972085,-0.04389160754967471,0.11753228834023766,0.08593403995394384,-0.06132770646170523,0.015070866594898463,-0.08535093458022387,0.027611020203914975,0.002774654316539118,0.12760735060787648,-0.12648393658511323,-0.09510858780651052,0.13892708428486256,-0.27835703008467627,0.061397251139304866,0.03657693402368277,0.10522288040510301,0.12340078921152958,0.06433239317338159,0.05183218317406332,0.08272428560319166,-0.08370861027075567,0.12530702665650406,0.012961701347081966,-0.042909066078972234,-0.058242775891260076,-0.007629407772051809,-0.0685514369477592,-0.06234412867277676,-0.016776851032323254,0.15390058833112155,0.08331987335494234,0.11899272656982991,-0.05991006495678968,0.1108310345346117,-0.07415602468354483,0.00913799231690534,-0.18910802716515004,0.02766094971603779,0.006085694249026157,-0.11282999821638569,0.01921929577355952,-0.10745187648201425,0.0636565615628621,-0.08892981068131256,0.03128262254180318,0.12030337626305372,-0.06850150743563638,-0.015501330317271562,-0.07707155155214473,0.14583340572956435,0.21667625064438834,-0.07006893747692038,-0.060366563353341104,-0.06813595207902294,0.03463324944461616,0.08447895131493618,0.1448651298337541,0.1872356704605446,-0.05123659542231264,0.049997273603549997,0.18798461314238676,0.08965913819767793,-0.058326586143751934,0.01095150352508033,-0.05631870647767028,0.07308610656662744,-0.09136744079102269,-0.05599951423945659,-0.028174510412158137,0.1780432906393626,-0.006682530238579913,-0.12162829153116977,-0.03712259226331064,0.0010539763369753284,0.027487979620469477,0.019545620799219326,0.024413748231193487
moscow;0.027632692566738244,0.12245573776934045,-0.0816419643030311,-0.03560189406221314,-0.12340548204525978,-0.033715020709485365,-0.11100113697665875,-0.1231693976047561,0.14005934704292677,-0.17034483576555354,0.06135311979012827,-0.09408595714026632,-0.3391325955265638,-0.009490774725377528,0.1270080224770676,-0.2147106888672272,-0.013542776679793119,0.0665199449116856,0.016845435807022264,0.03306984338352878,0.024071602074866152,-0.08294853849665827,-0.05463462517793234,-0.09800207537854468,0.10932511766621289,0.06844466386174602,-0.055802432181339796,0.019816675631895504,-0.15833336404069143,-0.005883728865315792,0.04877216193397489,-0.06934755168382492,0.06412666142322096,0.03517658163504623,0.06606759991499538,-0.09699646379227718,-0.06254976153436059,0.10435112487392191,0.07739785088786978,0.008342431172026871,0.010757881367500638,0.124549860821747,0.11466495123271947,-0.04797560221868772,0.053913756657310456,0.03599116306334895,-0.04342151533965899,0.018430805900999936,-0.08246916093044472,-0.007966858672782871,0.019966255849924543,-0.06641902331879854,0.039199027980116326,-0.060203334499736375,0.06275701123403939,-0.01612907271465427,0.1297941793092712,-0.10478184381499349,0.0163689417148912,0.12380736624550646,0.16860754263085478,0.031184772202102563,-0.16020762219430834,-0.0511672475937411,-0.22523536926830665,0.10039175452440623,0.026360359627840627,-0.1213834458449154,0.11806384630745163,-0.07833858430728134,0.08433440822755382,-0.16971047146740628,0.04953087605192942,0.0782052236309663,-0.09720912000586061,-0.14030444233993822,-0.031660545425713005,0.08519764828099853,0.09252888113572307,0.08645556384948372,0.1988876248395769,-0.07199854566841189,0.1234397232999893,0.2155216659529268,0.06613247808185134,-0.024489705816826846,0.017675696125648517,0.10354555430212695,0.1308394386641729,-0.06774722356804436,-0.06753096301185779,-0.07289602697658615,0.15875867646785835,-0.06691281825542453,-0.09987453136086002,-0.05289913421453517,0.08872449751814108,-0.12146454355348535,0.007602820069868821,-0.0487883814756889
zurich;-0.048178232708649724,-0.05979315469772054,0.018672548024173875,-0.06471693794680834,-0.04939646739109649,0.04064714250981778,0.04160708703421656,-0.06447898559648069,0.10640944377345021,-0.05247764526072392,-0.0426036396125119,0.005942504037798287,-0.13134562981932613,0.028066174654032095,0.266181227443458,-0.12266952104584057,-0.05623810590820981,-0.01755518886801987,-0.155175439125217,0.04609970875963373,0.18137867059206841,-0.13719681710046022,0.019040255587757134,0.03662839170428391,0.041188128195178114,0.023797268813538372,0.04611597900580998,0.06049684284484338,-0.15179326170132895,-0.0367117767159372,0.08311655259137563,0.04102542573341561,-0.0024930084703559813,-0.07674064987105746,0.13139240677708286,-0.04704541681862829,-0.0955531220123471,0.03267675566422708,0.10511392542166627,0.0061194429649650125,0.1189700738215156,-0.1516936064434994,0.10873405519588202,-0.13411970679237686,0.0764315151937087,0.04047020358265106,-0.05741566497521594,-0.14895613752434525,-0.021879413545512844,0.17841138444567473,0.06405392541512614,-0.04299209173996989,-0.025991718266560156,0.0179597078635769,0.11341175097155404,-0.017216564369476658,0.04224976175817846,-0.18591603549447025,0.04779384814273581,-0.046246140975219986,0.12167500224831725,0.011104239637213756,0.0019054492053161354,0.13154697411575722,0.05200784190238469,-0.016999763339178117,-0.018492761803926304,-0.002502770618061731,0.11409713509172859,-0.08435715886231472,0.13752425580475727,-0.12918575463942888,0.19153943932913686,0.13217134481277085,-0.14951542723665387,-0.09605343208226678,-0.024838564568818403,-0.05388298777419756,0.19064254200867103,0.17194802915215923,0.1233793105352795,-0.08490424588999114,-0.03048027243043326,0.23152560308804446,0.19029273171588165,-0.02408809946393885,0.11570382190163332,-0.15873658925704381,0.1749478557909054,-0.061597118242512315,0.06933362029931943,-0.04446251523814852,0.14945848137503698,-0.11447745209609844,0.007594137402764915,-0.06181066522357561,0.05988874239400602,-0.1010158571660232,-0.0356074337567242,0.03757816732482253
brisbane;-0.034476606443419,0.045809106302492124,0.13021017523775166,-0.062476680627812385,-0.050109615344515315,-0.016974126367996226,0.03164777626131586,-0.06280690169495398,-0.027772927901215064,-0.14439441078647533,-0.07383781237131976,0.09154949608234206,-0.288762098480812,-0.07383590357902413,0.11153646020973883,-0.13963388280120864,0.05748518877477614,0.013701501977162326,0.060653783985498956,-0.010453691886171438,0.13336159131781394,-0.10662322884082284,-0.02454516012932815,0.040529386812817834,-0.013987057304586503,0.09371406654557078,-0.05571001193985312,0.05755581408971395,-0.10578336023075172,0.03578031158132484,-0.04312916191944704,0.040414859275080865,0.017257391144665665,-0.038593871425063056,0.07937903640549344,-0.1240352321614334,0.03442316025914175,0.041571587406224256,-0.011475850160473889,-0.004917239832736778,0.07606728177259942,0.002145864298731682,0.03299729241431648,-0.025528188161570466,-0.006571780994576863,0.08444878874264995,0.03677479236734085,-0.15886305638724577,0.05056963428775881,0.05016497032108819,0.05309878407945021,-0.03687786715130413,0.00621350068068971,0.10166418645681208,0.13058811611228366,-0.08201316977344374,-0.012869650294732806,-0.08568377735791362,0.02461769423656156,0.023949616933095906,0.3029253373142839,0.13897344066692544,-0.029866873049505988,0.10706988623799703,0.010971738115201662,0.03909206621421887,-0.033180536474695634,-0.06412205958663351,0.20370631378815612,-0.03973914680243274,-0.08055867004418424,0.09255161203754055,0.196013880836823,0.14730722782958558,-0.09861393636841745,-0.017664727420550152,-0.06672756107014957,0.06630953555740962,0.13297028889721263,-0.018061183580349624,0.2510252747964806,-0.15741619182716873,0.07519496369350284,0.3083272195108776,0.11619963978792909,0.14504530895928044,0.03586238965003633,-0.025843138890347134,0.14205423143204993,0.020945177859796073,-0.1299887553314602,-0.14487160886037936,0.1292672318437173,-0.05596388131517007,-0.14919502340994995,-0.011574343842927683,0.0894994531568503,0.017900463269058746,-0.04685130689589854,0.014170683123424777
turin;-0.002855148163094351,0.04257442286947462,0.010232859513994925,0.12319836861780557,0.06046583494505544,-0.006388818888162166,-0.17173801175660233,0.0022550147136344146,0.140968691820398,-0.00482379831394222,0.05225940834235196,0.03629479640362127,-0.12391852875715749,-0.07285513858133985,0.13971106703427313,-0.07427846393050148,0.06995537872819715,0.17435947963849105,-0.09317682558145933,0.025114257131027842,0.04139115090009698,-0.09213163741461229,-0.03373705950751592,-0.0558580846729188,-0.07504323575990175,0.022613878122127506,0.055137924533566876,0.0794130570184472,-0.07851657448509465,-0.008887498404108279,0.007057569365648849,0.07718672124841529,0.11721827778513401,0.004762829004209475,0.14589722138764422,-0.13969619647092368,-0.1369026549274199,-0.027980027125086085,0.01781727169545285,0.11872020468342842,0.16620191345822147,-0.09390760755177514,0.09510575008450223,0.018553152144631335,0.004437800976714359,0.05769991016205779,-0.06683468479100549,0.010475462133210234,0.0904767561504378,-0.01293823986049839,0.09435160008606586,0.026966704451130724,-0.0028700187264438007,0.03982336864982641,0.05515279509691633,-0.15553547080428043,-0.01191472022881769,-0.027841943322555483,0.14605230011971704,-0.028230702335833954,0.2010967525408017,0.14373674096958847,-0.21245786293978128,0.03034869543003415,-0.10575094907651547,0.019767227423804268,0.044284537654661345,-0.11062636948894222,0.19601314424148264,0.014351368251934673,0.08300960898282125,-0.14837210800223122,0.13251371437313947,0.24693632624857692,-0.10079692711495593,-0.04726077469074407,-0.10352886203886913,-0.1258389557954293,-0.015397618601878101,0.037620400907915075,0.0938906126222329,0.012543957495118694,0.06247760972961671,0.03964067315724746,0.07514732970334789,0.019668656832459344,-0.014268093097177753,-0.22783827417549787,0.11205606793668216,-0.15595609531045057,0.1200904208777706,-0.16076990910328676,0.19353613326070288,-0.04984400398116277,-0.20047643761251036,0.10658370062408468,0.09515673487312892,-0.08157778616888853,-0.010703406625695371,-0.06689204267821051
canberra;0.05266396314150591,0.09260530278527211,0.11228522299729306,0.06187896679073087,-0.008823474637225546,0.022912310892481177,-0.04579771968582921,-0.014909350278816758,-0.0243174282241281,-0.14531272316383928,-0.17039168773265964,0.008044348458484653,-0.17498987729218757,-0.11384968353149788,0.1162129294707332,-0.16996332353877025,-0.009381796663850495,0.057055213476932674,-0.024309150655164053,0.031502358084920606,0.09102428711313919,-0.10816713243767985,0.014252525181519655,0.04053732460917755,0.011480160396236325,0.17622530446007154,-0.05720007093380349,0.06664477712178074,-0.05428843605070008,0.0038163731708737163,0.0015154987137824842,0.11015995716577406,0.06341445583356152,0.10303090089548889,0.05524863405052949,-0.18288046990716506,0.06279777694574006,0.06991441686257917,0.02073944903941893,-0.02911014065431112,0.08874381686354434,0.023278593319140246,0.0279181707234884,-0.0440221811430412,-0.043463445237968044,0.15443253476997768,-0.05067113841341168,-0.07679100727946095,0.11772979398339475,-0.027489806529598988,0.09120225484586619,-0.10142298312422282,-0.03435398059303468,-0.002433191396981518,0.045373494276421816,0.006331926379047499,-0.08939360602722199,-0.12096425405609598,0.04162375553570868,0.06222041651049779,0.1862908283203523,0.1260425426155386,-0.047610507288955425,0.0857783777821746,-0.03303163895102823,-0.018172574903668057,-0.03199073465379936,0.013753180833763541,0.1964370584780325,-0.05718765458035742,-0.09205277505692198,0.07138368535369745,0.3002481202483828,0.03440778479130099,-0.06600740431154914,0.06821130704822657,-0.05550523868841494,0.14581144669392307,0.0713381587243952,0.06565146884609513,0.19281562205626207,-0.10836786348505796,0.1487230815770265,0.31338876097880686,0.16502989243619842,0.13825402622974847,-0.01765729623565615,-0.07226317705612742,0.055774259679746446,0.06297988346294908,-0.1928756344312514,-0.089395675419463,0.1606427808852537,-0.08136229473985572,-0.05331582169742459,-0.0691032151041026,0.07330201196111527,-0.04968610770669013,-0.04120780769526533,0.07132988115543115
amsterdam;-0.04183544719603946,0.051289460849338664,0.12969814779381753,0.011479694124339513,-0.06525496430071683,0.007831350025686017,-0.1599495547041845,-0.09736879753298186,-0.0778609144968618,-0.07662887548353291,-0.13251782891761688,-0.01227387437462236,-0.2615119544181036,-0.0029806005051320975,0.03358294097702163,-0.08437850863588589,0.02909479885703783,0.09381815448728037,-0.15389352620134925,0.03761849733700706,0.032402985245597316,-0.18904435356122234,-0.007511127640734791,0.05480059243980218,0.17212626681842627,-0.08788425230063514,-0.03073093229893669,0.055806338573131886,-0.21731300380873936,-0.010591225174057006,-0.18863127925646195,0.10337633470438874,-0.13624088558617486,-0.07576321541877414,0.22438914624680906,-0.11340146848340016,-0.005431388315028013,0.0777944634130525,0.07659295597877114,0.08280343835208205,-0.09709940124726853,0.10022619413678106,0.0864690238130212,-0.05300820915218961,0.08389359532160191,-0.002187857035039721,-0.014757169336327683,-0.07102184079021982,-0.08805846189872975,0.06568599835785813,0.06319857265310519,-0.07574525566639324,-0.03245866047797807,0.07584403430448812,-0.019220526998025858,-0.18151921731363047,-0.07301537330449834,-0.07345359126259199,-0.0902549396149123,0.0926310148549037,0.059272570782643176,0.036636098881772515,-0.0031605572239885907,0.0412535512188987,-0.05355418562456859,-0.010836016599008503,0.0013032314717667242,-0.07460660736544497,0.08528547613112071,-0.10852359973675112,-0.1056644071577138,-0.07701860211019818,0.1348579846528465,0.1564707506680066,-0.22783741870393945,-0.05830992805502761,-0.12495856914050131,0.03138287131036291,0.07911270923780966,-0.028581149938944447,0.25660894201812134,-0.13310870477094808,-0.043511092093176267,0.1572214683175277,0.13657493698045936,-0.04007539146271248,-0.015150308315945311,-0.02358115487610535,0.0024723395127529803,0.04122840756556546,0.04296511562079729,-0.008094460398066019,0.08619244362635553,-0.04112424100175631,-0.24762906582767755,0.07112241540355278,0.012243701990622469,-0.03886670012747875,0.02559085116752667,-0.00668084828816636
newcastle;0.026895958415912812,-0.009990323522941635,0.09455503343161295,-0.0877812969063682,-0.21800568840939397,-0.030482629886900824,-0.11464626543690186,-0.0319766685714961,-0.11289289034308099,0.07992128334625397,0.00012958665228285463,0.04894444633988549,-0.4016941563778659,0.08400868612310523,0.01925287405345269,-0.17541906171203292,0.08291262280864233,0.02969646542622951,0.007544569147886374,-0.009631003957203274,0.13004008323734972,-0.08485356826133707,0.021105742989806657,-0.13177551681858266,-0.16281107150251165,-0.040544556355534306,0.05692026420852186,0.04653865260650335,-0.15350431960917033,-0.021906586869868103,-0.023340276830303965,0.1346004895278829,-0.16770421129922108,-0.10213940011651257,0.236191857987164,-0.06336942246058487,-0.05541317715113535,0.00493668874090014,-0.0013175594425939583,0.06044495590875154,0.017718059203884834,-0.04298623311409231,0.031283473766962264,-0.0703405156242969,-0.026465362113802383,-0.04562526651111759,-0.025385609265328506,0.08582240994108553,0.11860155343924197,0.026657825612472954,0.040981676844040346,0.060298161714850265,0.06018888159272375,0.06705721882070488,0.06138280770312085,0.000821199341615754,0.06253921974174317,0.0031795622399017854,0.031360132957110716,0.023133133912243267,0.14677299029549704,0.14163519350895215,-0.052916044808214636,-0.017636506873939677,-0.07312471216862457,0.06802116736065664,-0.053103615167088496,-0.08602465971934953,0.029044046786668252,-0.01862981425267169,-0.016303778697975918,-0.052279936634642414,0.2713735331255048,0.24256925018887532,-0.007176931244493606,-0.03820074239291049,0.020719184945866616,-0.029414294364619266,-0.08266144163241125,0.09476870053606927,0.20461479583239917,-0.1735922895212614,0.11963563698294656,0.1824651830192945,0.08802106075640698,-0.004362560338086234,-0.046775154363344305,-0.09096509986742715,0.05836537149515004,-0.032808502336936704,-0.06908134764994368,-0.04723184741103719,0.018295449699896545,-0.00749547464525939,-0.16940049976208033,0.04846818073300577,0.06315249326293075,-0.021353662072839938,-0.0763052530364857,-0.00980552594328591
