switzerland;-0.07033553186895809,-0.014944099504768946,0.07496036350004935,0.09058668855661524,-0.04719520297353299,0.1126453746230128,0.13695179354508058,-0.0716004430842993,0.12550111289824897,-0.1067664122698929,0.019791188972987622,-0.053320319923956486,-0.2922412062148377,0.00015077777621844778,0.19271928545098976,-0.15184684180527733,0.02262466196530732,-0.031358658297372034,-0.1341973775037197,0.010807264870959895,0.23957849638294773,-0.12808124429772333,0.09011594034863316,0.033150016936143584,0.10224219857638563,0.1336152308648411,0.005424744234883725,0.07255271999357604,-0.141833560266788,0.014128195835896164,0.06793148186025566,0.08564383237280326,0.0485840898619687,-0.021830498957948214,0.07915397539863792,-0.13737043603538523,0.013979604703071283,0.05589865457454543,0.1683895087934114,0.08910257397725185,0.06652462748296566,-0.005911303833057583,0.08287144884258811,-0.13999907965476618,0.06503871615471683,-0.025134720158250006,-0.05930349371243118,-0.13340321449636058,-0.07694397426956168,-0.01246440636798999,-0.04150130575561217,-0.1330223037326499,0.09983814856768318,0.0273932335072328,0.1292275700866263,-0.028356290909822116,0.05026764356761459,-0.11974792296710904,-0.027576501893546438,-0.11308018785328634,0.047665951181515086,0.01956839211119457,-0.12390020964133276,0.0754472824480003,-0.022029938084230705,0.1126399843763565,-0.13290192155732622,0.04196666371693798,0.10878955151488466,-0.114233700637731,0.016964363951544006,-0.10719403850462474,0.1970135152871623,0.026440956597956047,-0.08728426410519888,-0.07700147023389536,-0.133144482656859,-0.010435876876341961,0.18393318340124765,0.08986978575132953,0.1485965230715384,-0.025528208164158708,0.0049663935942110835,0.1854604199538613,0.19205448836338146,-0.04833074826912338,0.05221172586164751,-0.06480693554849665,0.11272083807620077,0.02389316667841937,0.018425659820062466,-0.08427650647099269,0.1770444481745173,-0.10378740261785357,0.012031030536824796,-0.06834293735501862,0.09531393487417587,-0.04732456889328379,-0.016294895316833594,0.024191426993400395
italia;-0.025159553307609675,-0.08692495842087293,0.11768366079746904,-0.00658033170161649,-0.09729436944934662,-0.06568514234794312,-0.09171352913177483,-0.11619399420509603,0.14945600222965752,0.044310507287323685,0.12235239240820238,-0.05067196618793787,-0.1546806541106172,0.034065928654858905,0.05221655903455483,-0.10374404324314045,-0.028897867460089915,0.11541337562205362,-0.013861722139219032,0.018273798343758047,0.026352951013454883,-0.07784881101505159,0.06164057271725435,0.02628637373558346,-0.06588986747739774,-0.35300937159373746,0.14177464879524243,-0.09884062672791036,-0.1532242761571799,0.0531369899011272,-0.0837592088580869,-0.03247306728178518,0.09806167257681475,0.15223061028494897,0.23896249459999477,-0.06315687022077594,0.11477922705032834,0.09930999653690387,0.05592657784393971,0.16807433798640017,-0.1071711086215718,-0.12854574368219127,-0.14388847736766003,-0.002041092896343063,-0.06387756925373407,0.0730119717776929,0.0192092090978515,-0.007747098496313128,-0.07523731729054513,-0.07689675594149029,-0.0676508364770968,0.0025430855714935713,0.038132135900855894,0.04904748060787523,0.10902362137834408,-0.019026121583705095,0.028535021295690677,-0.18240509704822339,0.02782763771830684,-0.07890572530126037,-0.0056507464593367855,0.07469637690783984,-0.20043089503191036,0.0660330086248213,0.15230051642671397,0.02238494525231824,-0.16483535341795558,-0.09720948342006057,0.0005866456839640187,-0.03171075745015742,0.010750233057898214,-0.05623116889020146,0.09718951023669914,0.13407997990525305,-0.19543759919155385,-0.058992461489918616,-0.20221183721497088,0.09558166897610434,-0.0014491043858298632,0.09253908737738045,0.09400545192249847,-0.05188034378130415,0.042882424676981716,0.1229931987077148,0.05336335264589004,-0.006931193955998873,-0.037409772435950985,-0.01691395744323429,0.020896943091892,-0.12672485513240792,0.06990947062888474,-0.12048323533196227,0.0731168309903404,-0.06714651359722079,-0.1350253772510272,0.08183678995954966,0.0827272610510799,-0.049149010956629144,-0.02316889269925421,-0.08056682838415231
belgium;0.08422573736059907,-0.01694447153730698,-0.014122562503937343,0.10228773837102628,-0.13159101239653226,0.009095195592228645,0.011103075258310294,-0.12809238015421237,0.11042089925646001,-0.07493884810575606,-0.04399324977078187,-0.061352671217766636,-0.3458688632621641,0.012633949763932936,0.10970048772440232,-0.18475702682301928,0.050398492897394016,0.08330917417377316,-0.04789131811008424,0.08764412574415016,0.19369084309927956,-0.10473428446504406,0.03519852284972085,-0.04389160754967471,0.11753228834023766,0.08593403995394384,-0.06132770646170523,0.015070866594898463,-0.08535093458022387,0.027611020203914975,0.002774654316539118,0.12760735060787648,-0.12648393658511323,-0.09510858780651052,0.13892708428486256,-0.27835703008467627,0.061397251139304866,0.03657693402368277,0.10522288040510301,0.12340078921152958,0.06433239317338159,0.05183218317406332,0.08272428560319166,-0.08370861027075567,0.12530702665650406,0.012961701347081966,-0.042909066078972234,-0.058242775891260076,-0.007629407772051809,-0.0685514369477592,-0.06234412867277676,-0.016776851032323254,0.15390058833112155,0.08331987335494234,0.11899272656982991,-0.05991006495678968,0.1108310345346117,-0.07415602468354483,0.00913799231690534,-0.18910802716515004,0.02766094971603779,0.006085694249026157,-0.11282999821638569,0.01921929577355952,-0.10745187648201425,0.0636565615628621,-0.08892981068131256,0.03128262254180318,0.12030337626305372,-0.06850150743563638,-0.015501330317271562,-0.07707155155214473,0.14583340572956435,0.21667625064438834,-0.07006893747692038,-0.060366563353341104,-0.06813595207902294,0.03463324944461616,0.08447895131493618,0.1448651298337541,0.1872356704605446,-0.05123659542231264,0.049997273603549997,0.18798461314238676,0.08965913819767793,-0.058326586143751934,0.01095150352508033,-0.05631870647767028,0.07308610656662744,-0.09136744079102269,-0.05599951423945659,-0.028174510412158137,0.1780432906393626,-0.006682530238579913,-0.12162829153116977,-0.03712259226331064,0.0010539763369753284,0.027487979620469477,0.019545620799219326,0.024413748231193487
moscow;0.027632692566738244,0.12245573776934045,-0.0816419643030311,-0.03560189406221314,-0.12340548204525978,-0.033715020709485365,-0.11100113697665875,-0.1231693976047561,0.14005934704292677,-0.17034483576555354,0.06135311979012827,-0.09408595714026632,-0.3391325955265638,-0.009490774725377528,0.1270080224770676,-0.2147106888672272,-0.013542776679793119,0.0665199449116856,0.016845435807022264,0.03306984338352878,0.024071602074866152,-0.08294853849665827,-0.05463462517793234,-0.09800207537854468,0.10932511766621289,0.06844466386174602,-0.055802432181339796,0.019816675631895504,-0.15833336404069143,-0.005883728865315792,0.04877216193397489,-0.06934755168382492,0.06412666142322096,0.03517658163504623,0.06606759991499538,-0.09699646379227718,-0.06254976153436059,0.10435112487392191,0.07739785088786978,0.008342431172026871,0.010757881367500638,0.124549860821747,0.11466495123271947,-0.04797560221868772,0.053913756657310456,0.03599116306334895,-0.04342151533965899,0.018430805900999936,-0.08246916093044472,-0.007966858672782871,0.019966255849924543,-0.06641902331879854,0.039199027980116326,-0.060203334499736375,0.06275701123403939,-0.01612907271465427,0.1297941793092712,-0.10478184381499349,0.0163689417148912,0.12380736624550646,0.16860754263085478,0.031184772202102563,-0.16020762219430834,-0.0511672475937411,-0.22523536926830665,0.10039175452440623,0.026360359627840627,-0.1213834458449154,0.11806384630745163,-0.07833858430728134,0.08433440822755382,-0.16971047146740628,0.04953087605192942,0.0782052236309663,-0.09720912000586061,-0.14030444233993822,-0.031660545425713005,0.08519764828099853,0.09252888113572307,0.08645556384948372,0.1988876248395769,-0.07199854566841189,0.1234397232999893,0.2155216659529268,0.06613247808185134,-0.024489705816826846,0.017675696125648517,0.10354555430212695,0.1308394386641729,-0.06774722356804436,-0.06753096301185779,-0.07289602697658615,0.15875867646785835,-0.06691281825542453,-0.09987453136086002,-0.05289913421453517,0.08872449751814108,-0.12146454355348535,0.007602820069868821,-0.0487883814756889
brisbane;-0.034476606443419,0.045809106302492124,0.13021017523775166,-0.062476680627812385,-0.050109615344515315,-0.016974126367996226,0.03164777626131586,-0.06280690169495398,-0.027772927901215064,-0.14439441078647533,-0.07383781237131976,0.09154949608234206,-0.288762098480812,-0.07383590357902413,0.11153646020973883,-0.13963388280120864,0.05748518877477614,0.013701501977162326,0.060653783985498956,-0.010453691886171438,0.13336159131781394,-0.10662322884082284,-0.02454516012932815,0.040529386812817834,-0.013987057304586503,0.09371406654557078,-0.05571001193985312,0.05755581408971395,-0.10578336023075172,0.03578031158132484,-0.04312916191944704,0.040414859275080865,0.017257391144665665,-0.038593871425063056,0.07937903640549344,-0.1240352321614334,0.03442316025914175,0.041571587406224256,-0.011475850160473889,-0.004917239832736778,0.07606728177259942,0.002145864298731682,0.03299729241431648,-0.025528188161570466,-0.006571780994576863,0.08444878874264995,0.03677479236734085,-0.15886305638724577,0.05056963428775881,0.05016497032108819,0.05309878407945021,-0.03687786715130413,0.00621350068068971,0.10166418645681208,0.13058811611228366,-0.08201316977344374,-0.012869650294732806,-0.08568377735791362,0.02461769423656156,0.023949616933095906,0.3029253373142839,0.13897344066692544,-0.029866873049505988,0.10706988623799703,0.010971738115201662,0.03909206621421887,-0.033180536474695634,-0.06412205958663351,0.20370631378815612,-0.03973914680243274,-0.08055867004418424,0.09255161203754055,0.196013880836823,0.14730722782958558,-0.09861393636841745,-0.017664727420550152,-0.06672756107014957,0.06630953555740962,0.13297028889721263,-0.018061183580349624,0.2510252747964806,-0.15741619182716873,0.07519496369350284,0.3083272195108776,0.11619963978792909,0.14504530895928044,0.03586238965003633,-0.025843138890347134,0.14205423143204993,0.020945177859796073,-0.1299887553314602,-0.14487160886037936,0.1292672318437173,-0.05596388131517007,-0.14919502340994995,-0.011574343842927683,0.0894994531568503,0.017900463269058746,-0.04685130689589854,0.014170683123424777
turin;-0.002855148163094351,0.04257442286947462,0.010232859513994925,0.12319836861780557,0.06046583494505544,-0.006388818888162166,-0.17173801175660233,0.0022550147136344146,0.140968691820398,-0.00482379831394222,0.05225940834235196,0.03629479640362127,-0.12391852875715749,-0.07285513858133985,0.13971106703427313,-0.07427846393050148,0.06995537872819715,0.17435947963849105,-0.09317682558145933,0.025114257131027842,0.04139115090009698,-0.09213163741461229,-0.03373705950751592,-0.0558580846729188,-0.07504323575990175,0.022613878122127506,0.055137924533566876,0.0794130570184472,-0.07851657448509465,-0.008887498404108279,0.007057569365648849,0.07718672124841529,0.11721827778513401,0.004762829004209475,0.14589722138764422,-0.13969619647092368,-0.1369026549274199,-0.027980027125086085,0.01781727169545285,0.11872020468342842,0.16620191345822147,-0.09390760755177514,0.09510575008450223,0.018553152144631335,0.004437800976714359,0.05769991016205779,-0.06683468479100549,0.010475462133210234,0.0904767561504378,-0.01293823986049839,0.09435160008606586,0.026966704451130724,-0.0028700187264438007,0.03982336864982641,0.05515279509691633,-0.15553547080428043,-0.01191472022881769,-0.027841943322555483,0.14605230011971704,-0.028230702335833954,0.2010967525408017,0.14373674096958847,-0.21245786293978128,0.03034869543003415,-0.10575094907651547,0.019767227423804268,0.044284537654661345,-0.11062636948894222,0.19601314424148264,0.014351368251934673,0.08300960898282125,-0.14837210800223122,0.13251371437313947,0.24693632624857692,-0.10079692711495593,-0.04726077469074407,-0.10352886203886913,-0.1258389557954293,-0.015397618601878101,0.037620400907915075,0.0938906126222329,0.012543957495118694,0.06247760972961671,0.03964067315724746,0.07514732970334789,0.019668656832459344,-0.014268093097177753,-0.22783827417549787,0.11205606793668216,-0.15595609531045057,0.1200904208777706,-0.16076990910328676,0.19353613326070288,-0.04984400398116277,-0.20047643761251036,0.10658370062408468,0.09515673487312892,-0.08157778616888853,-0.010703406625695371,-0.06689204267821051
soton;-0.04250373942378958,0.043336147675435234,0.10121065968213908,-0.06052006482775851,-0.12735182094658554,0.05314129700133575,-0.10545239960275894,0.08668115075780286,0.01586180489731588,0.08989566347426425,-0.020252758424746695,0.019720105697762804,-0.14650606614136794,-0.022353260949112108,0.03455822555369317,-0.27856896357599054,0.22486092053098117,0.040732658037309466,0.10374994762000493,-0.006653509998659159,0.029902495358983584,-0.006603255564317786,0.041432235184969114,-0.17548759917938186,-0.14640644281337842,0.0923176172702758,0.15675398581388847,0.02016818928854227,-0.13412399339813885,-0.059094344311642025,-0.04387411364657856,0.15194771370132806,0.04026996302509154,-0.13121941992431146,0.20995948451548413,-0.017999721515970686,-0.05846561041944158,-0.037115224305423834,0.0570664561241223,0.23446903705263575,0.062417335763025335,-0.018161775462833613,-0.003379887440923983,-0.08380757120823888,-0.11045570451956525,-0.09644423690077449,-0.11948157803541452,0.09726114819028843,0.14245471746979468,0.06715940617532583,0.004914308077135689,0.037332181775267655,0.14686913782559635,0.16882390546275045,0.1426871719017702,-0.02177123932848008,0.026891657001967394,-0.08151623466448023,0.037380886513395856,0.07412861143112508,0.19111739241506884,0.07401349114100386,-0.14159352914561874,0.0062656431750200145,-0.12286212963185843,0.10055093186567524,-0.06311691291068498,-0.0966501251119528,0.045851083244236986,0.02600168860526114,-0.07811575840243842,-0.032335518413660634,0.10639328658932651,0.15243033337914388,-0.06849214491865212,0.02335170808074027,0.05981605997663267,0.1176020179140125,-0.19137641306784156,0.02074910398330775,0.04969211600116573,-0.06573589951094244,0.1393199034157249,0.09274931835823035,0.03418629846253236,-0.07255013514542467,-0.029743098034200374,-0.20245674099200775,0.029590342264616463,0.005494558616381236,-0.03948183180810789,-0.027093117509679507,0.01126562731422668,0.03244178329684944,-0.057294482852631605,0.04003972244484912,0.19788292331142285,-0.017018542427860703,-0.06286453381311156,0.04685617193106445
finland;0.03977777860529839,0.0010867415079112543,0.10816109458246431,0.1911930498965752,0.016148886457443678,0.1021017238422425,0.07877005046354321,-0.04645635511459395,0.10418579354501076,-0.16064320640981608,0.007453999048109931,0.016512448701856988,-0.31437961475544934,0.023522742587442063,0.05370106261275694,-0.09921976327703921,-0.0032094319590763123,0.053044704497538765,-0.015962947810787532,0.07553248887095754,0.11451414577316109,-0.0007512558222270907,0.07332988549239516,0.0470737917243275,0.12471511852881625,0.11054238305438797,-0.04671995985628535,0.00613332160064261,-0.0680843280486703,-0.017804819599880936,-0.057623288870004175,0.13125393145023517,0.0801853779357118,-0.007227546652562956,0.10762857762106087,-0.09354960759166378,0.08811475009853637,0.0008089304167179609,0.09144430797681298,0.1425040156946353,-0.07850998404053222,0.022003034714201033,-0.02728574450407032,-0.06464154397262019,0.029705954481478617,-0.0432700991428744,-0.041081649039033705,-0.08670119178570798,-0.216350495714372,0.05012559158619104,-0.0851584848410442,-0.08827574359849555,0.14844131444038255,0.018045425270149597,0.16008415205830948,-0.024064105345546552,0.09542491649228715,-0.14470838823253787,-0.1095764220546329,-0.13326369646071456,0.034452608991264046,0.14212187727714976,-0.1933514242916323,0.011578794049811285,-0.1790566168227295,0.18793779671058744,-0.02553073843858126,0.1377803602562726,0.03956724864381331,-0.20056959439969213,-0.01749928578182654,-0.15829199364667598,0.08482234456640417,0.04785399099336044,-0.07214454873445396,-0.02743258472930781,-0.026401164833964947,0.07530426731607036,0.04265266253314085,-0.027395432383163384,0.12204368792509802,-0.011553141239378227,0.10551089389082861,0.14946211937968415,0.14018641695895923,-0.12030814261235129,-0.06322444734111139,-0.19478444335720302,-0.003234377105773284,-0.11357826048218961,-0.0659418760876751,-0.14503922102915728,0.08175639142981894,-0.0871682498515236,-0.042236910088191325,-0.08963268881243718,0.05648925773292908,-0.07165095327853517,0.05296686148656949,-0.04415467881297977
slovakia;0.007573234982895131,0.08923732119042525,0.025650371347470495,0.20043117251140255,-0.06257626732447559,-0.06305814072337897,0.14854686235610132,-0.0009990268145121856,0.055984927618047214,-0.19306226436583462,0.00775753591273545,-0.07747366506589762,-0.23474118432293214,0.026532762896111745,0.032977037344433247,-0.20312215382995388,0.025908517811168732,0.06804584330683343,-0.011488769253789574,0.1140772690942855,0.10102288065126667,0.04910102191942751,0.08916691760941664,0.08298391867283822,0.021377656242259034,0.10946348775218788,-0.003034081436666638,0.007603430296527713,-0.03469644924506576,-0.1050249331006006,-0.06326152884629273,-0.09419999138952109,0.14469187516487428,0.02185170702105034,0.1353704410393342,-0.14556644409340347,0.0704286133929693,-0.10456339851398859,0.048517454459067244,0.12808758171499904,0.057867050017010736,0.020758104729383255,0.020149504884664375,0.006875457268898678,-0.04296026513145424,-0.09987921359088235,-0.13589612111086516,-0.2401075017198107,-0.06436295375807188,-0.1196673134263692,-0.14576200959620514,0.0335371369444573,0.22863954063551925,0.03584480987751732,0.1226977964577843,-0.07874092952405261,0.0570315941890419,-0.1178336912721005,0.028663644614639033,-0.13443172662588607,0.10835580474431908,0.17696331217519898,-0.15837676678892576,0.023557038205481138,-0.1644471199958904,0.11987695964537262,-0.022807631198745033,-0.039155342708944434,0.15689046896763287,-0.0868326477679756,-0.0989154667930756,-0.05429680619786298,0.08685611562831179,0.077240550986558,-0.11904776191349344,0.05373201302577168,-0.09038098825080958,-0.016413421519140773,0.048462696118282765,0.024498881666974105,0.05088927287704622,-0.06551287891454587,0.04095298081069763,0.05304675150395453,-0.009689253723209485,-0.016075484330299438,-0.08842846227083744,-0.14513150641517247,0.07777718272624584,-0.019015224968414537,0.017982639113621583,-0.17374039268902705,0.2224596707469856,0.08871633469096155,-0.11284285964060121,-0.010227919344126478,-0.015373795306246954,-0.024099928041258645,0.04332010565660936,0.06472435880724943
canberra;0.05266396314150591,0.09260530278527211,0.11228522299729306,0.06187896679073087,-0.008823474637225546,0.022912310892481177,-0.04579771968582921,-0.014909350278816758,-0.0243174282241281,-0.14531272316383928,-0.17039168773265964,0.008044348458484653,-0.17498987729218757,-0.11384968353149788,0.1162129294707332,-0.16996332353877025,-0.009381796663850495,0.057055213476932674,-0.024309150655164053,0.031502358084920606,0.09102428711313919,-0.10816713243767985,0.014252525181519655,0.04053732460917755,0.011480160396236325,0.17622530446007154,-0.05720007093380349,0.06664477712178074,-0.05428843605070008,0.0038163731708737163,0.0015154987137824842,0.11015995716577406,0.06341445583356152,0.10303090089548889,0.05524863405052949,-0.18288046990716506,0.06279777694574006,0.06991441686257917,0.02073944903941893,-0.02911014065431112,0.08874381686354434,0.023278593319140246,0.0279181707234884,-0.0440221811430412,-0.043463445237968044,0.15443253476997768,-0.05067113841341168,-0.07679100727946095,0.11772979398339475,-0.027489806529598988,0.09120225484586619,-0.10142298312422282,-0.03435398059303468,-0.002433191396981518,0.045373494276421816,0.006331926379047499,-0.08939360602722199,-0.12096425405609598,0.04162375553570868,0.06222041651049779,0.1862908283203523,0.1260425426155386,-0.047610507288955425,0.0857783777821746,-0.03303163895102823,-0.018172574903668057,-0.03199073465379936,0.013753180833763541,0.1964370584780325,-0.05718765458035742,-0.09205277505692198,0.07138368535369745,0.3002481202483828,0.03440778479130099,-0.06600740431154914,0.06821130704822657,-0.05550523868841494,0.14581144669392307,0.0713381587243952,0.06565146884609513,0.19281562205626207,-0.10836786348505796,0.1487230815770265,0.31338876097880686,0.16502989243619842,0.13825402622974847,-0.01765729623565615,-0.07226317705612742,0.055774259679746446,0.06297988346294908,-0.1928756344312514,-0.089395675419463,0.1606427808852537,-0.08136229473985572,-0.05331582169742459,-0.0691032151041026,0.07330201196111527,-0.04968610770669013,-0.04120780769526533,0.07132988115543115
